weight_set_ID,in_node_ID,out_node_ID,weight
0,0,0,6.630012512207031
0,0,1,-0.0993259847164154
0,0,2,-0.41086092591285706
0,0,3,6.257085800170898
0,1,0,-0.1170450896024704
0,1,1,-0.09349590539932251
0,1,2,-0.0561252236366272
0,1,3,0.027348017320036888
0,2,0,10.890205383300781
0,2,1,0.12168395519256592
0,2,2,0.179610013961792
0,2,3,12.304312705993652
0,3,0,6.786947727203369
0,3,1,-0.16326576471328735
0,3,2,-0.11184284090995789
0,3,3,8.276679992675781
0,4,0,0.201768159866333
0,4,1,-0.2913375198841095
0,4,2,0.03438037633895874
0,4,3,0.43403708934783936
1,0,0,6.6739606857299805
1,1,0,0.4912922978401184
1,2,0,0.15352535247802734
1,3,0,2.7283294200897217
