brand,brand_map
-1.459620237350464,0
-1.3966009616851809,1
-1.333581805229187,2
-1.2705625295639038,3
-1.2075432538986206,4
-1.1445239782333374,5
-1.0815047025680542,6
-1.0184855461120603,7
-0.9554662704467772,8
-0.8924469947814941,9
-0.8294277787208557,10
-0.7664085030555725,11
-0.7033892869949341,12
-0.6403700113296509,13
-0.5773507952690125,14
-0.5143315196037292,15
-0.4513122737407684,16
-0.3882930278778076,17
-0.3252737820148468,18
-0.262254536151886,19
-0.1992352902889251,20
-0.1362160444259643,21
-0.0731967911124229,22
-0.0101775471121072,23
0.0528417006134986,24
0.1158609464764595,25
0.1788801997900009,26
0.2418994456529617,27
0.3049186766147613,28
0.3679379522800445,29
0.4309571981430053,30
0.4939764440059662,31
0.556995689868927,32
0.6200149059295654,33
0.6830341815948486,34
0.7460533976554871,35
0.8090726733207703,36
0.8720918893814087,37
0.935111165046692,38
0.9981304407119752,39
1.0611497163772583,40
1.124168872833252,41
1.1871881484985352,42
1.2502074241638184,43
1.3132266998291016,44
1.3762458562850952,45
1.4392651319503784,46
1.5022844076156616,47
1.5653036832809448,48
1.6283228397369385,49
1.6913421154022217,50
1.7543613910675049,51
1.817380666732788,52
1.8803998231887815,53
1.943419098854065,54
2.0064384937286377,55
2.069457530975342,56
