model,model_map
-1.0851771831512451,301
-1.0832607746124268,302
-1.0813443660736084,303
-1.07942795753479,304
-1.0775115489959717,305
-1.0755950212478638,306
-1.0736786127090454,307
-1.071762204170227,308
-1.0698457956314087,309
-1.0679293870925903,310
-1.066012978553772,311
-1.0640965700149536,312
-1.0621800422668457,313
-1.0602636337280271,314
-1.058347225189209,315
-1.0564308166503906,316
-1.0545144081115725,317
-1.052597999572754,318
-1.0506815910339355,319
-1.0487650632858276,320
-1.0468486547470093,321
-1.044932246208191,322
-1.0430158376693726,323
-1.0410994291305542,324
-1.0391830205917358,325
-1.0372666120529177,326
-1.0353500843048096,327
-1.0334336757659912,328
-1.0315172672271729,329
-1.0296008586883545,330
-1.027684450149536,331
-1.0257680416107178,332
-1.02385151386261,333
-1.0219351053237915,334
-1.0200186967849731,335
-1.0181022882461548,336
-1.0161858797073364,337
-1.014269471168518,338
-1.0123530626296997,339
-1.0104365348815918,340
-1.0085201263427734,341
-1.006603717803955,342
-1.0046873092651367,343
-1.0027709007263184,344
-1.0008544921875,345
-0.9989380240440368,346
-0.9970216155052184,347
-0.9951052069664,348
-0.993188738822937,349
-0.9912723302841188,350
-0.9893559217453004,351
-0.9874394536018372,352
-0.9855230450630188,353
-0.9836066365242004,354
-0.981690227985382,355
-0.979773759841919,356
-0.9778573513031006,357
-0.9759409427642822,358
-0.9740244746208192,359
-0.9721080660820008,360
-0.9701916575431824,361
-0.968275249004364,362
-0.9663587808609008,363
-0.9644423723220824,364
-0.9625259637832642,365
-0.960609495639801,366
-0.9586930871009828,367
-0.9567766785621644,368
-0.954860270023346,369
-0.9529438018798828,370
-0.9510273933410645,371
-0.949110984802246,372
-0.947194516658783,373
-0.9452781081199646,374
-0.9433616995811462,375
-0.9414452314376832,376
-0.9395288228988647,377
-0.9376124143600464,378
-0.935696005821228,379
-0.9337795376777648,380
-0.9318631291389464,381
-0.9299467206001282,382
-0.928030252456665,383
-0.9261138439178468,384
-0.9241974353790284,385
-0.92228102684021,386
-0.9203645586967468,387
-0.9184481501579284,388
-0.91653174161911,389
-0.914615273475647,390
-0.9126988649368286,391
-0.9107824563980104,392
-0.908866047859192,393
-0.9069495797157288,394
-0.9050331711769104,395
-0.903116762638092,396
-0.9012002944946288,397
-0.8992838859558105,398
-0.8973674774169922,399
-0.895451009273529,400
-0.8935346007347107,401
-0.8916181921958923,402
-0.889701783657074,403
-0.8877853155136108,404
-0.8858689069747925,405
-0.8839524984359741,406
-0.882036030292511,407
-0.8801196217536926,408
-0.8782032132148743,409
-0.8762868046760559,410
-0.8743703365325928,411
-0.8724539279937744,412
-0.870537519454956,413
-0.8686210513114929,414
-0.8667046427726746,415
-0.8647882342338562,416
-0.8628718256950378,417
-0.8609553575515747,418
-0.8590389490127563,419
-0.857122540473938,420
-0.8552060723304749,421
-0.8532896637916565,422
-0.8513732552528381,423
-0.8494568467140198,424
-0.8475403785705566,425
-0.8456239700317383,426
-0.8437075614929199,427
-0.8417910933494568,428
-0.8398746848106384,429
-0.8379582762718201,430
-0.8360418081283569,431
-0.8341253995895386,432
-0.8322089910507202,433
-0.8302925825119019,434
-0.8283761143684387,435
-0.8264597058296204,436
-0.824543297290802,437
-0.8226268291473389,438
-0.8207104206085205,439
-0.8187940120697021,440
-0.8168776035308838,441
-0.8149611353874207,442
-0.8130447268486023,443
-0.8111283183097839,444
-0.8092118501663208,445
-0.8072954416275024,446
-0.8053790330886841,447
-0.8034626245498657,448
-0.8015461564064026,449
-0.7996297478675842,450
-0.7977133393287659,451
-0.7957968711853027,452
-0.7938804626464844,453
-0.791964054107666,454
-0.7900476455688477,455
-0.7881311774253845,456
-0.7862147688865662,457
-0.7842983603477478,458
-0.7823818922042847,459
-0.7804654836654663,460
-0.778549075126648,461
-0.7766326069831848,462
-0.7747161984443665,463
-0.7727997899055481,464
-0.7708833813667297,465
-0.7689669132232666,466
-0.7670505046844482,467
-0.7651340961456299,468
-0.7632176280021667,469
-0.7613012194633484,470
-0.75938481092453,471
-0.7574684023857117,472
-0.7555519342422485,473
-0.7536355257034302,474
-0.7517191171646118,475
-0.7498026490211487,476
-0.7478862404823303,477
-0.745969831943512,478
-0.7440534234046936,479
-0.7421369552612305,480
-0.7402205467224121,481
-0.7383041381835938,482
-0.7363876700401306,483
-0.7344712615013123,484
-0.7325548529624939,485
-0.7306383848190308,486
-0.7287219762802124,487
-0.726805567741394,488
-0.7248891592025757,489
-0.7229726910591125,490
-0.7210562825202942,491
-0.7191398739814758,492
-0.7172234058380127,493
-0.7153069972991943,494
-0.713390588760376,495
-0.7114741802215576,496
-0.7095577120780945,497
-0.7076413035392761,498
-0.7057248950004578,499
-0.7038084268569946,500
-0.7018920183181763,501
-0.6999756097793579,502
-0.6980592012405396,503
-0.6961427330970764,504
-0.6942263245582581,505
-0.6923099160194397,506
-0.6903934478759766,507
-0.6884770393371582,508
-0.6865606307983398,509
-0.6846442222595215,510
-0.6827277541160583,511
-0.68081134557724,512
-0.6788949370384216,513
-0.6769784688949585,514
-0.6750620603561401,515
-0.6731456518173218,516
-0.6712291836738586,517
-0.6693127751350403,518
-0.6673963665962219,519
-0.6654799580574036,520
-0.6635634899139404,521
-0.6616470813751221,522
-0.6597306728363037,523
-0.6578142046928406,524
-0.6558977961540222,525
-0.6539813876152039,526
-0.6520649790763855,527
-0.6501485109329224,528
-0.648232102394104,529
-0.6463156938552856,530
-0.6443992257118225,531
-0.6424828171730042,532
-0.6405664086341858,533
-0.6386500000953674,534
-0.6367335319519043,535
-0.6348171234130859,536
-0.6329007148742676,537
-0.6309842467308044,538
-0.6290678381919861,539
-0.6271514296531677,540
-0.6252350211143494,541
-0.6233185529708862,542
-0.6214021444320679,543
-0.6194857358932495,544
-0.6175692677497864,545
-0.615652859210968,546
-0.6137364506721497,547
-0.6118199825286865,548
-0.6099035739898682,549
-0.6079871654510498,550
-0.6060707569122314,551
-0.6041542887687683,552
-0.60223788022995,553
-0.6003214716911316,554
