weight_set_ID,in_node_ID,out_node_ID,weight
0,0,0,-2.8118700981140137
0,0,1,-2.3932924270629883
0,0,2,-0.25693148374557495
0,1,0,-2.7988674640655518
0,1,1,-2.2057149410247803
0,1,2,-0.37881091237068176
0,2,0,-2.856928825378418
0,2,1,-1.9133563041687012
0,2,2,0.3177928924560547
0,3,0,0.2559550404548645
0,3,1,-0.14026352763175964
0,3,2,-0.42253226041793823
0,4,0,-0.43503808975219727
0,4,1,-0.0826643705368042
0,4,2,-0.015037178993225098
1,0,0,-2.8077306747436523
1,1,0,2.596020221710205
1,2,0,-0.5543646216392517
