ID,Value
0,2600.4287109375
1,2135.216064453125
2,763.147216796875
3,1323.5218505859375
4,1000.8818969726562
5,746.1661376953125
6,1221.635498046875
7,1184.2772216796875
8,654.1288452148438
9,855.3543090820312
10,1111.2586669921875
11,1095.975830078125
12,372.54913330078125
13,1208.6959228515625
14,742.7699584960938
15,1541.660400390625
16,4736.712890625
17,1646.1617431640625
18,2308.422607421875
19,797.1093139648438
20,1049.0740966796875
21,678.0721435546875
22,1017.6251831054688
23,1934.839599609375
24,1595.2186279296875
25,1697.0709228515625
26,1523.898193359375
27,168.77651977539062
28,491.450439453125
29,508.09185791015625
30,1303.14453125
31,3395.2099609375
32,898.99560546875
33,16702.783203125
34,2274.460693359375
35,355.60205078125
36,3386.71923828125
37,1829.55712890625
38,1150.315185546875
39,1340.4688720703125
40,1756.53857421875
41,1951.1414794921875
42,1636.618408203125
43,1464.3626708984375
44,2308.388671875
45,1306.540771484375
46,1408.4271240234375
47,1068.8060302734375
48,742.7699584960938
49,746.1322021484375
50,1017.693115234375
51,678.241943359375
52,1459.3702392578125
53,2461.252197265625
54,814.09033203125
55,593.3367309570312
56,797.1093139648438
57,746.1661376953125
58,1452.5777587890625
59,192.58395385742188
60,912.5804443359375
61,438.8092041015625
62,345.4134216308594
63,338.5870361328125
64,568.5443725585938
65,66.9241943359375
66,508.4314880371094
67,1697.10498046875
68,882.0145263671875
69,1866.9154052734375
70,4074.41796875
71,1254.5447998046875
72,151.82943725585938
73,2237.102294921875
74,3564.986328125
75,1357.416015625
76,336.9228820800781
77,284.2816467285156
78,943.0784301757812
79,683.3362426757812
80,8112.5458984375
81,576.1858520507812
82,440.5072937011719
83,1272.544677734375
84,1017.8289794921875
85,452.3600769042969
86,3361.247802734375
87,228.24415588378906
88,1253.8995361328125
89,1459.30224609375
90,9099.14453125
91,1433.626953125
92,372.4132995605469
93,100325.859375
94,1849.934326171875
95,1340.5029296875
96,658.7137451171875
97,2512.1953125
98,83.9052505493164
99,219.75363159179688
100,1218.2393798828125
101,1882.5379638671875
102,381.0736083984375
103,1238.6165771484375
104,2138.578125
105,1527.29443359375
106,352.2058410644531
107,980.504638671875
108,983.9008178710938
109,508.4314880371094
110,304.6589050292969
111,1488.57763671875
112,1187.503662109375
113,1798.957275390625
114,525.4125366210938
115,1493.332275390625
116,842.6185302734375
117,1119.749267578125
118,593.3367309570312
119,708.807861328125
120,676.5438232421875
121,1051.8250732421875
122,949.938720703125
123,1265.7862548828125
124,650.732666015625
125,882.0145263671875
126,538.9973754882812
127,406.5451965332031
128,1693.13134765625
129,4889.474609375
130,287.6778564453125
131,1518.803955078125
132,511.82769775390625
133,1279.37109375
134,1697.10498046875
135,538.9973754882812
136,525.3786010742188
137,559.3746337890625
138,236.73468017578125
139,729.1851196289062
140,1306.540771484375
141,898.99560546875
142,2102.951904296875
143,711.8644409179688
144,1391.2762451171875
145,1085.787109375
146,5157.84326171875
147,1313.2652587890625
148,435.4129943847656
149,977.9574584960938
150,423.5262451171875
151,644.2459106445312
152,2885.744384765625
153,914.278564453125
154,2101.25390625
155,780.0942993164062
156,2342.215087890625
157,2155.59326171875
158,882.0145263671875
159,1306.540771484375
160,732.9888305664062
161,1581.56591796875
162,277.48919677734375
163,932.9577026367188
164,2885.7783203125
165,610.3177490234375
166,3154.078857421875
167,211.2631072998047
168,1561.2225341796875
169,5059.35302734375
170,372.54913330078125
171,1662.80322265625
172,525.4125366210938
173,1672.4144287109375
174,576.1858520507812
175,262.2062683105469
176,678.2080078125
177,1357.48388671875
178,506.5635681152344
179,936.3199462890625
180,865.0335083007812
181,1111.2586669921875
182,559.3746337890625
183,1187.6734619140625
184,9268.955078125
185,1612.19970703125
186,1136.6962890625
187,1408.4271240234375
188,403.14898681640625
189,844.6222534179688
190,5942.36767578125
191,1527.29443359375
192,1798.957275390625
193,1782.0101318359375
194,2257.4794921875
195,1289.5596923828125
196,287.6778564453125
197,1798.685546875
198,13582.1416015625
199,2885.608642578125
200,1111.2586669921875
201,117.86734771728516
202,219.75363159179688
203,671.4495239257812
204,202.7725830078125
205,2498.6103515625
206,355.60205078125
207,403.14898681640625
