weight_set_ID,in_node_ID,out_node_ID,weight
0,0,0,2.12174129486084
0,0,1,0.023292601108551025
0,0,2,-0.10915851593017578
0,0,3,2.099421977996826
0,0,4,0.370537132024765
0,0,5,0.4806562662124634
0,0,6,-0.26127055287361145
0,0,7,-0.7619656324386597
0,0,8,0.21125182509422302
0,0,9,0.1939835250377655
0,0,10,0.07797370105981827
0,0,11,-0.07240009307861328
0,0,12,1.2507961988449097
0,0,13,0.9502451419830322
0,0,14,0.0059476629830896854
0,0,15,0.20833224058151245
0,0,16,0.8819078207015991
0,0,17,2.7017014026641846
0,0,18,-0.213080033659935
0,0,19,0.40143638849258423
0,1,0,-0.4939659535884857
0,1,1,-0.03922969102859497
0,1,2,-1.0127793550491333
0,1,3,-0.596193790435791
0,1,4,-0.9637410640716553
0,1,5,-1.2512952089309692
0,1,6,0.2858161926269531
0,1,7,1.151504635810852
0,1,8,0.1559135615825653
0,1,9,-0.2171345055103302
0,1,10,-0.223427876830101
0,1,11,-1.2108819484710693
0,1,12,0.41733595728874207
0,1,13,-0.8275080323219299
0,1,14,-1.0622358322143555
0,1,15,-0.2821553349494934
0,1,16,-0.8599129319190979
0,1,17,0.09974075853824615
0,1,18,-0.02716425061225891
0,1,19,-0.9106988310813904
0,2,0,1.3346161842346191
0,2,1,-0.05644345283508301
0,2,2,-0.08774956315755844
0,2,3,1.3934757709503174
0,2,4,0.7027102708816528
0,2,5,0.6583291888237
0,2,6,-0.30107995867729187
0,2,7,0.085595041513443
0,2,8,-0.19583426415920258
0,2,9,-0.09825004637241364
0,2,10,-0.11816951632499695
0,2,11,0.16392047703266144
0,2,12,0.5118590593338013
0,2,13,0.7432576417922974
0,2,14,0.5108587145805359
0,2,15,-0.018531203269958496
0,2,16,0.7489683032035828
0,2,17,1.9475957155227661
0,2,18,-0.2430344671010971
0,2,19,0.4978336691856384
0,3,0,-0.015240487642586231
0,3,1,-0.1735886186361313
0,3,2,-0.5348206162452698
0,3,3,-0.1843264251947403
0,3,4,-0.42549553513526917
