weight_set_ID,in_node_ID,out_node_ID,weight
0,0,0,-0.2795675992965698
0,0,1,-8.990004539489746
0,0,2,-2.751950979232788
0,0,3,-2.5637764930725098
0,0,4,-0.236171692609787
0,1,0,-0.41563960909843445
0,1,1,-9.517048835754395
0,1,2,-2.1305456161499023
0,1,3,-2.5813140869140625
0,1,4,-0.178389310836792
0,2,0,-0.18146955966949463
0,2,1,-9.097593307495117
0,2,2,-2.56329345703125
0,2,3,-3.321479082107544
0,2,4,0.2591949701309204
0,3,0,0.2717481255531311
0,3,1,-9.120291709899902
0,3,2,-0.2906808853149414
0,3,3,0.11417043209075928
0,3,4,0.41312992572784424
0,4,0,0.39277154207229614
0,4,1,-0.11203444004058838
0,4,2,0.36834394931793213
0,4,3,0.22667396068572998
0,4,4,0.09122228622436523
1,0,0,-0.11372938752174377
1,1,0,8.822259902954102
1,2,0,2.3043277263641357
1,3,0,-2.5657896995544434
1,4,0,0.2816885709762573
